# Time-averaged data for fix OUT
# TimeStep v_vT v_rho v_ent
176000 701.791 7.20639 -4.8403
177000 698.07 7.20528 -4.84457
178000 700.133 7.20337 -4.84657
179000 702.64 7.20022 -4.85205
180000 699.941 7.20236 -4.84738
181000 696.488 7.20127 -4.85314
182000 700.363 7.19889 -4.85482
183000 694.989 7.20023 -4.85201
184000 699.017 7.20344 -4.84762
185000 700.696 7.20263 -4.84532
186000 697.043 7.20353 -4.84828
187000 699.887 7.2015 -4.84815
188000 696.963 7.20565 -4.84603
189000 698.525 7.20569 -4.84415
190000 700.204 7.20515 -4.84152
191000 699.759 7.20744 -4.84107
192000 699.641 7.20447 -4.84156
193000 703.345 7.20283 -4.84697
194000 698.509 7.20301 -4.84651
195000 695.573 7.20486 -4.84431
196000 705.031 7.20863 -4.83706
197000 698.296 7.20441 -4.8468
198000 703.489 7.20395 -4.84564
199000 699.526 7.20652 -4.84154
200000 704.664 7.20588 -4.84217
201000 699.995 7.20292 -4.84602
202000 700.405 7.20231 -4.85057
203000 701.512 7.20333 -4.8464
204000 702.625 7.19954 -4.85245
205000 699.124 7.20183 -4.85163
206000 699.896 7.20241 -4.84791
207000 701.098 7.20254 -4.84674
208000 698.007 7.20363 -4.84832
209000 701.407 7.20587 -4.84185
210000 703.632 7.2035 -4.84458
211000 700.615 7.20242 -4.84952
212000 699.559 7.20133 -4.84821
213000 699.433 7.20257 -4.84919
214000 699.593 7.20335 -4.84884
215000 701.279 7.20517 -4.84551
216000 701.847 7.20318 -4.84894
217000 700.986 7.20272 -4.84587
218000 697.66 7.20457 -4.84598
219000 702.747 7.2048 -4.84615
220000 701.312 7.2034 -4.84559
221000 699.659 7.20362 -4.84559
222000 697.868 7.20492 -4.84511
223000 701.868 7.20464 -4.84565
224000 703.865 7.20504 -4.84211
225000 700.451 7.20478 -4.84526
226000 703.599 7.20274 -4.84654
227000 701.111 7.20282 -4.84865
228000 699.716 7.2006 -4.85084
229000 697.695 7.20218 -4.84862
230000 699.951 7.20054 -4.8518
231000 696.6 7.20567 -4.84683
232000 700.793 7.20234 -4.84726
233000 697.256 7.20809 -4.83933
234000 699.381 7.20627 -4.84088
235000 700.708 7.20687 -4.83878
236000 699.84 7.20522 -4.84588
237000 701.197 7.20433 -4.84516
238000 699.39 7.20545 -4.84469
239000 707.1 7.20448 -4.84562
240000 700.808 7.20094 -4.8522
241000 702.485 7.20189 -4.84923
242000 701.398 7.20434 -4.84394
243000 700.125 7.20285 -4.84725
244000 694.554 7.20287 -4.84849
245000 698.353 7.19975 -4.85157
246000 700.855 7.20293 -4.8467
247000 700.115 7.20554 -4.8423
248000 699.513 7.20402 -4.84444
249000 700.371 7.20546 -4.84287
250000 698.516 7.20351 -4.84679
251000 702.329 7.2025 -4.8463
252000 697.514 7.20227 -4.84865
253000 700.573 7.20276 -4.84753
254000 697.039 7.2025 -4.84885
255000 699.864 7.20116 -4.84877
256000 695.708 7.20162 -4.84958
257000 703.839 7.20504 -4.84401
258000 699.579 7.20752 -4.84075
259000 697.753 7.20152 -4.84677
260000 698.21 7.20314 -4.84751
261000 701.611 7.20471 -4.84481
262000 701.847 7.2055 -4.84271
263000 704.809 7.20322 -4.84368
264000 692.997 7.20478 -4.84792
265000 701.459 7.20077 -4.84939
266000 694.585 7.20267 -4.84936
267000 703.216 7.20081 -4.84899
268000 696.636 7.20243 -4.85152
269000 698.331 7.20336 -4.8486
270000 698.718 7.20516 -4.84442
271000 699.14 7.20548 -4.84482
272000 699.726 7.20382 -4.84627
273000 695.356 7.20468 -4.84412
274000 697.513 7.20328 -4.84924
275000 704.418 7.20219 -4.84897
276000 702.014 7.20325 -4.84564
277000 704.519 7.20397 -4.84668
278000 699.419 7.20411 -4.8462
279000 701.122 7.20479 -4.84581
280000 700.688 7.2034 -4.84673
281000 699.703 7.20335 -4.84672
282000 698.874 7.2013 -4.85099
283000 697.421 7.2039 -4.84849
284000 699.485 7.20461 -4.84448
285000 697.375 7.20477 -4.84683
286000 699.698 7.20287 -4.84658
287000 697.981 7.20152 -4.84942
288000 700.381 7.2022 -4.8491
289000 699.808 7.19977 -4.85284
290000 697.781 7.20069 -4.85248
291000 698.604 7.20232 -4.85133
292000 702.786 7.20101 -4.85112
293000 697.211 7.20268 -4.84812
294000 699.992 7.19938 -4.85185
295000 698.487 7.20153 -4.8513
296000 701.189 7.20191 -4.84973
297000 693.387 7.20327 -4.84919
298000 698.027 7.2049 -4.84505
299000 698.521 7.20493 -4.84306
300000 699.57 7.20376 -4.84524
301000 701.305 7.20471 -4.84354
302000 696.859 7.20548 -4.84268
303000 702.377 7.20169 -4.84847
304000 701.404 7.20138 -4.8489
305000 695.436 7.20126 -4.85193
306000 696.427 7.20117 -4.85024
307000 704.925 7.20188 -4.84761
308000 701.044 7.2051 -4.84384
309000 702.206 7.20525 -4.8404
310000 699.364 7.20358 -4.84676
311000 702.915 7.20379 -4.84641
312000 700.329 7.20314 -4.84694
313000 702.106 7.20015 -4.85231
314000 701.618 7.20107 -4.85041
315000 700.544 7.20302 -4.8471
316000 702.966 7.20371 -4.84338
317000 699.674 7.20697 -4.8423
318000 698.577 7.20552 -4.84276
319000 701.045 7.20188 -4.84987
320000 701.986 7.20159 -4.84958
321000 697.718 7.20343 -4.84827
322000 699.819 7.20157 -4.85005
323000 696.208 7.19777 -4.85654
324000 701.091 7.20316 -4.84907
325000 697.149 7.20295 -4.84791
326000 698.694 7.20058 -4.85063
327000 700.58 7.1995 -4.85158
328000 701.747 7.20023 -4.85135
329000 696.304 7.20387 -4.84957
330000 699.97 7.20514 -4.84444
331000 704.576 7.20513 -4.84254
332000 702.925 7.20603 -4.8409
333000 704.736 7.20642 -4.84176
334000 701.316 7.20638 -4.84223
335000 699.769 7.20319 -4.84759
336000 699.198 7.20042 -4.85413
337000 703.621 7.20025 -4.84914
338000 701.898 7.20177 -4.84985
339000 701.521 7.20233 -4.8475
340000 699.758 7.20445 -4.84617
341000 695.385 7.2039 -4.84724
342000 703.765 7.20595 -4.84176
343000 698.05 7.20648 -4.84228
344000 698.181 7.20653 -4.84265
345000 699.739 7.20403 -4.8447
346000 698.683 7.20234 -4.84803
347000 699.196 7.20296 -4.84917
348000 698.919 7.1982 -4.85669
349000 700.418 7.19961 -4.85412
350000 697.155 7.20029 -4.85252
351000 703.553 7.20212 -4.84906
352000 701.666 7.20191 -4.85141
353000 701.606 7.19595 -4.85744
354000 698.789 7.20216 -4.84886
355000 703.202 7.20563 -4.84587
356000 700.555 7.20557 -4.84352
357000 705.307 7.20504 -4.84351
358000 698.173 7.20404 -4.8473
359000 703.487 7.20504 -4.84285
360000 700.987 7.20262 -4.84783
361000 700.856 7.20497 -4.84446
362000 697.061 7.2038 -4.84629
363000 700.848 7.20363 -4.84711
364000 701.11 7.20497 -4.84445
365000 698.124 7.20521 -4.846
366000 701.824 7.20335 -4.84761
367000 700.086 7.20209 -4.84762
368000 698.768 7.20305 -4.84833
369000 702.614 7.20859 -4.83806
370000 703.686 7.2051 -4.84472
371000 695.81 7.20474 -4.847
372000 700.483 7.20392 -4.84624
373000 695.683 7.20542 -4.8458
374000 697.831 7.20622 -4.8431
375000 701.44 7.2048 -4.84305
376000 699.578 7.20531 -4.84459
377000 698.49 7.20591 -4.84277
378000 699.36 7.20316 -4.8477
379000 699.239 7.20329 -4.84755
380000 701.87 7.20106 -4.8478
381000 697.454 7.20273 -4.84693
382000 697.152 7.20549 -4.84563
383000 701.364 7.20464 -4.84386
384000 698.647 7.20742 -4.84038
385000 700.197 7.20794 -4.83996
386000 700.98 7.20443 -4.84396
387000 699.757 7.20253 -4.84979
388000 697.879 7.20315 -4.84828
389000 697.449 7.20022 -4.85212
390000 701.891 7.19931 -4.8522
391000 700.458 7.20402 -4.84612
392000 700.971 7.20264 -4.848
393000 700.002 7.20421 -4.84556
394000 699.18 7.20421 -4.84486
395000 698.761 7.2044 -4.84642
396000 700.131 7.20379 -4.84634
397000 698.426 7.20309 -4.84989
398000 700.803 7.19861 -4.85507
399000 699.16 7.20108 -4.85377
400000 699.682 7.19858 -4.85494
401000 699.391 7.19945 -4.85356
402000 696.043 7.20078 -4.85189
403000 697.888 7.20376 -4.84726
404000 699.052 7.20155 -4.84918
405000 700.328 7.20077 -4.8518
406000 699.779 7.20158 -4.8523
407000 697.453 7.20345 -4.84633
408000 699.257 7.20571 -4.84469
409000 698.297 7.20474 -4.84524
410000 700.201 7.20586 -4.84424
411000 703.418 7.20509 -4.84362
412000 697.089 7.2013 -4.84971
413000 702.876 7.20056 -4.85039
414000 699.444 7.20185 -4.85048
415000 699.459 7.20148 -4.85042
416000 701.28 7.20279 -4.84867
417000 701.905 7.20269 -4.84833
418000 699.98 7.20363 -4.84691
419000 697.072 7.20096 -4.85211
420000 701.236 7.20289 -4.84949
421000 698.501 7.20307 -4.84856
422000 701.307 7.20176 -4.8482
423000 697.942 7.20339 -4.84767
424000 702.679 7.20478 -4.84393
425000 700.839 7.20405 -4.84421
426000 697.921 7.20477 -4.84432
427000 699.122 7.20292 -4.84701
428000 701.285 7.20467 -4.84657
429000 704.48 7.20254 -4.84803
430000 698.092 7.19911 -4.85419
431000 696.247 7.2023 -4.84956
432000 701.149 7.20117 -4.85009
433000 698.061 7.20139 -4.84973
434000 696.564 7.20027 -4.85146
435000 698.091 7.19979 -4.85469
436000 700.44 7.20178 -4.85226
437000 703.02 7.20173 -4.84657
438000 695.992 7.20507 -4.84523
439000 701.31 7.20316 -4.84836
440000 701.365 7.20396 -4.84624
441000 703.02 7.20373 -4.84584
442000 697.899 7.20498 -4.84646
443000 700.035 7.20233 -4.84766
444000 700.506 7.20326 -4.84788
445000 699.199 7.2037 -4.84701
446000 703.419 7.20168 -4.85025
447000 700.71 7.20361 -4.8474
448000 699.615 7.20057 -4.8501
449000 700.346 7.20224 -4.8495
450000 701.404 7.20532 -4.84493
451000 702.168 7.20703 -4.84258
452000 697.105 7.20541 -4.84496
453000 701.363 7.20312 -4.85072
454000 700.028 7.20115 -4.85122
455000 701.133 7.20143 -4.84999
456000 700.351 7.199 -4.85375
457000 701.154 7.20203 -4.84875
458000 702.15 7.20191 -4.85008
459000 702.503 7.20104 -4.84914
460000 704.459 7.20038 -4.85373
461000 698.35 7.20233 -4.85056
462000 701.107 7.20547 -4.84309
463000 699.212 7.20426 -4.84508
464000 698.316 7.20429 -4.84587
465000 697.157 7.20572 -4.84375
466000 697.146 7.20627 -4.84221
467000 702.633 7.20394 -4.84538
468000 700.968 7.20353 -4.8458
469000 700.853 7.20285 -4.84872
470000 701.9 7.20309 -4.84606
471000 698.329 7.206 -4.84441
472000 700.274 7.20362 -4.84734
473000 700.484 7.20458 -4.84665
474000 697.962 7.20656 -4.84231
475000 700.045 7.20541 -4.84177
476000 701.729 7.20249 -4.84677
477000 698.063 7.20508 -4.84458
478000 701.234 7.20193 -4.85
479000 705.18 7.20054 -4.84915
480000 701.29 7.20156 -4.84916
481000 696.432 7.20253 -4.85044
482000 701.03 7.20105 -4.85149
483000 699.992 7.19886 -4.85517
484000 695.721 7.20316 -4.849
485000 699.633 7.20268 -4.84769
486000 700.214 7.20216 -4.84844
487000 703.974 7.20391 -4.84614
488000 701.517 7.20744 -4.84006
489000 702.212 7.20727 -4.8419
490000 697.491 7.20356 -4.84643
491000 701.072 7.20451 -4.84748
492000 697.53 7.20156 -4.85202
493000 704.603 7.19813 -4.85448
494000 703.125 7.20097 -4.84992
495000 698.8 7.20232 -4.84954
496000 697.441 7.20278 -4.84866
497000 697.354 7.20236 -4.85009
498000 699.256 7.2022 -4.85046
499000 698.875 7.19989 -4.85205
500000 698.404 7.20193 -4.85134
501000 704.306 7.20427 -4.84547
502000 699.204 7.20227 -4.84854
503000 700.941 7.20117 -4.85069
504000 698.094 7.20445 -4.84939
505000 700.433 7.19949 -4.85469
506000 701.689 7.20109 -4.85068
507000 700.42 7.20136 -4.85227
508000 704.955 7.19998 -4.85111
509000 700.066 7.20506 -4.8443
510000 700.244 7.2064 -4.84028
511000 697.64 7.20517 -4.84333
512000 702.249 7.2039 -4.84618
513000 706.098 7.20358 -4.8481
514000 695.965 7.20167 -4.84953
515000 699.306 7.20404 -4.84691
516000 703.86 7.20518 -4.84333
517000 697.96 7.20639 -4.8429
518000 700.089 7.20631 -4.84074
519000 699.586 7.20444 -4.84531
520000 699.001 7.20483 -4.84399
521000 697.981 7.20483 -4.84516
522000 699.177 7.20458 -4.84566
523000 703.104 7.20556 -4.84349
524000 700.556 7.20612 -4.84427
525000 700.309 7.20378 -4.84547
526000 703.253 7.20183 -4.84891
527000 701.541 7.20381 -4.84542
528000 695.613 7.20593 -4.84494
529000 699.622 7.20493 -4.84392
530000 704.303 7.20542 -4.842
531000 701.342 7.20698 -4.84177
532000 702.954 7.2034 -4.84586
533000 697.453 7.20342 -4.84798
534000 701.402 7.20059 -4.85132
535000 702.66 7.20341 -4.84718
536000 697.227 7.2092 -4.83916
537000 704.161 7.20647 -4.84324
538000 700.039 7.20091 -4.8507
539000 698.572 7.20349 -4.84577
