# Time-averaged data for fix OUT
# TimeStep v_vT v_rho v_ent
0 298.561 7.29651 -4.95616
1000 309.38 7.29462 -4.95354
2000 319.312 7.29496 -4.94583
3000 328.712 7.29111 -4.94541
4000 339.043 7.28622 -4.94701
5000 348.91 7.28357 -4.94553
6000 359.477 7.28121 -4.94404
7000 368.905 7.27918 -4.94022
8000 378.107 7.27718 -4.93705
9000 389.017 7.2769 -4.93129
10000 399.147 7.27496 -4.92726
11000 410.367 7.27212 -4.92557
12000 419.459 7.27071 -4.92228
13000 427.688 7.27117 -4.91449
14000 439.171 7.26432 -4.9187
15000 450.269 7.26429 -4.91319
16000 458.662 7.25972 -4.91356
17000 468.931 7.25895 -4.90817
18000 479.724 7.25913 -4.90083
19000 489.913 7.2548 -4.90215
20000 499.408 7.25221 -4.9004
21000 501.863 7.24859 -4.90417
22000 497.658 7.25128 -4.90199
23000 500.783 7.25032 -4.90242
24000 500.361 7.25231 -4.89994
25000 498.198 7.25054 -4.90313
26000 501.133 7.24844 -4.90505
27000 497.644 7.25181 -4.90017
28000 499.784 7.25476 -4.89524
29000 500.163 7.2481 -4.90609
30000 498.502 7.25158 -4.90011
31000 499.346 7.24884 -4.90453
32000 501.517 7.24922 -4.90339
33000 502.01 7.2506 -4.90189
34000 499.829 7.24986 -4.90232
35000 499.625 7.25201 -4.90062
36000 500.04 7.25464 -4.89447
37000 497.292 7.24857 -4.90533
38000 501.433 7.24941 -4.90329
39000 503.033 7.25215 -4.89805
40000 499.294 7.24839 -4.90572
41000 500.188 7.24948 -4.90245
42000 500.07 7.25071 -4.90206
43000 502.28 7.25033 -4.90288
44000 500.923 7.25087 -4.90162
45000 499.451 7.248 -4.90475
46000 497.613 7.25259 -4.89876
47000 501.694 7.2528 -4.89727
48000 498.867 7.25073 -4.90069
49000 499.293 7.25174 -4.90054
50000 499.68 7.25061 -4.90243
51000 500.529 7.25054 -4.90053
52000 498.922 7.25252 -4.89844
53000 502.356 7.24975 -4.90337
54000 496.949 7.25242 -4.89954
55000 499.072 7.25057 -4.90068
56000 501.34 7.25143 -4.90085
57000 505.233 7.25113 -4.89981
58000 500.12 7.25117 -4.90138
59000 500.138 7.24998 -4.90342
60000 501.699 7.25376 -4.89567
61000 499.398 7.25051 -4.90265
62000 502.325 7.24892 -4.90272
63000 500.37 7.25017 -4.90118
64000 500.206 7.25068 -4.90202
65000 502.563 7.24728 -4.90538
66000 498.928 7.2532 -4.89719
67000 497.103 7.24802 -4.90705
68000 501.076 7.25091 -4.89985
69000 500.889 7.25118 -4.90159
70000 501.692 7.25017 -4.90291
71000 497.596 7.25257 -4.89927
72000 500.277 7.24952 -4.90326
73000 500.625 7.24896 -4.90397
74000 502.28 7.25135 -4.9
75000 499.207 7.24967 -4.90316
76000 500.64 7.25088 -4.89978
77000 499.615 7.25053 -4.90101
78000 500.886 7.24946 -4.90303
79000 500.296 7.25282 -4.89818
80000 501.925 7.25116 -4.90035
81000 499.301 7.24911 -4.90423
82000 498.504 7.25165 -4.89923
83000 501.512 7.25084 -4.90075
84000 501.674 7.24901 -4.90328
85000 501.007 7.24978 -4.90195
86000 497.053 7.24885 -4.90584
87000 499.907 7.25104 -4.90015
88000 500.478 7.25115 -4.89995
89000 499.682 7.2502 -4.90343
90000 499.847 7.25123 -4.90124
91000 498.571 7.25271 -4.89891
92000 503.433 7.2485 -4.90465
93000 498.503 7.2513 -4.90009
94000 500.193 7.25074 -4.9008
95000 498.113 7.24747 -4.90805
96000 502.691 7.25188 -4.89971
97000 500.023 7.25147 -4.89878
98000 502.345 7.24816 -4.9048
99000 498.682 7.25075 -4.90137
100000 499.528 7.25275 -4.8981
101000 500.294 7.25068 -4.90216
102000 499.765 7.25038 -4.90331
103000 500.611 7.25175 -4.90004
104000 501.18 7.25261 -4.89714
105000 500.762 7.24865 -4.90404
106000 498.006 7.2529 -4.89896
107000 498.183 7.25251 -4.89785
108000 498.674 7.24991 -4.90445
109000 502.076 7.25153 -4.9006
110000 499.266 7.24984 -4.90347
111000 501.581 7.2501 -4.90024
112000 499.219 7.24716 -4.90723
113000 503.142 7.25223 -4.89798
114000 502.073 7.25006 -4.9038
115000 499.869 7.24822 -4.90429
116000 499.561 7.25354 -4.89687
117000 498.398 7.25142 -4.9003
118000 500.945 7.24843 -4.90521
119000 501.436 7.25199 -4.89915
120000 497.388 7.25187 -4.90118
121000 500.369 7.24992 -4.90435
122000 499.071 7.24965 -4.9028
123000 500.892 7.25138 -4.90058
124000 498.38 7.24831 -4.90446
125000 497.722 7.25245 -4.89957
126000 502.251 7.25169 -4.89991
127000 501.007 7.24837 -4.90573
128000 500.684 7.25097 -4.90157
129000 500.436 7.25435 -4.89533
130000 498.125 7.24941 -4.90531
131000 502.779 7.25174 -4.89925
132000 500.699 7.24916 -4.90349
133000 502.685 7.25191 -4.89906
134000 499.043 7.24973 -4.9037
135000 502.239 7.25277 -4.89917
136000 499.595 7.25163 -4.90048
137000 502.977 7.24834 -4.90382
138000 497.811 7.25078 -4.90144
139000 500.644 7.25482 -4.89462
140000 499.511 7.24979 -4.90369
141000 499.919 7.24948 -4.90384
142000 498.24 7.25125 -4.90099
143000 500.24 7.24809 -4.90385
144000 499.258 7.25199 -4.89958
145000 503.17 7.2544 -4.8935
146000 498.789 7.24831 -4.90631
147000 500.613 7.25152 -4.89892
148000 498.427 7.25214 -4.90032
149000 502.342 7.2496 -4.90405
150000 498.41 7.24959 -4.90479
151000 500.927 7.25058 -4.90133
152000 498.078 7.25202 -4.8997
153000 498.288 7.24958 -4.90314
154000 502.067 7.2515 -4.90048
155000 497.409 7.25238 -4.8986
156000 500.102 7.24985 -4.90362
157000 501.513 7.25013 -4.90136
158000 500.078 7.25034 -4.90304
159000 501.417 7.24955 -4.90322
160000 501.132 7.25008 -4.90193
161000 498.22 7.24943 -4.90275
162000 502.518 7.24586 -4.90861
163000 500.225 7.25302 -4.89797
164000 501.617 7.25108 -4.89994
165000 499.681 7.25399 -4.8961
166000 501.005 7.25069 -4.90124
167000 499.657 7.24744 -4.90801
168000 497.348 7.25229 -4.90074
169000 500.042 7.25109 -4.89988
170000 499.977 7.25117 -4.90109
171000 497.439 7.25076 -4.901
172000 501.168 7.24955 -4.90343
173000 500.342 7.25085 -4.90021
174000 498.838 7.24909 -4.90303
