# Time-averaged data for fix OUT1
# TimeStep v_vT v_rho v_ent
170000 1999.6 6.74007 -4.392
171000 2008.6 6.73918 -4.38466
172000 2028.05 6.73195 -4.38456
173000 2026.09 6.73492 -4.38345
174000 2038.02 6.72292 -4.38338
175000 2053.82 6.72212 -4.37895
176000 2051.77 6.72603 -4.35574
177000 2062.1 6.71403 -4.36568
178000 2079.15 6.70719 -4.36859
179000 2081.19 6.70341 -4.36613
180000 2094.57 6.70015 -4.35942
181000 2105.9 6.6965 -4.35577
182000 2118.75 6.68578 -4.35671
183000 2145.12 6.69303 -4.33933
184000 2126.65 6.67973 -4.34602
185000 2144.14 6.679 -4.34171
186000 2138.1 6.67385 -4.33959
187000 2175.02 6.66306 -4.33973
188000 2187.44 6.65899 -4.33609
189000 2186.26 6.66097 -4.32322
190000 2199.39 6.65374 -4.32494
191000 2202.29 6.65997 -4.31225
192000 2230 6.65145 -4.3184
193000 2226.87 6.64288 -4.31388
194000 2241.06 6.63703 -4.31291
195000 2241.03 6.6391 -4.29168
196000 2253.24 6.62645 -4.30464
197000 2268.9 6.63905 -4.28427
198000 2268.55 6.62234 -4.30086
199000 2273.47 6.62498 -4.2895
200000 2295.57 6.62362 -4.27829
201000 2324.51 6.61105 -4.2833
202000 2331.21 6.60821 -4.27314
203000 2329.87 6.59939 -4.28373
204000 2341.62 6.59723 -4.26758
205000 2361.53 6.59332 -4.26879
206000 2368.92 6.58788 -4.27302
207000 2367.07 6.59376 -4.25486
208000 2375.81 6.58868 -4.25115
209000 2382.13 6.57525 -4.25703
210000 2393.17 6.57822 -4.24813
211000 2413.46 6.57317 -4.24365
212000 2429.46 6.56902 -4.23989
213000 2444 6.56244 -4.23767
214000 2424.97 6.55803 -4.2425
215000 2459.78 6.55227 -4.23367
216000 2457.51 6.55125 -4.22724
217000 2469.02 6.54657 -4.22981
218000 2469.18 6.54531 -4.21874
219000 2475.01 6.53577 -4.22254
220000 2512.75 6.53833 -4.20686
